title,rating,price,promotion,review_num,Brand,Manufacturer,Description_comb,Primary Supplement Type_comb,Age Range_comb,Flavor_comb,Unit Count_comb,Benefit_comb,Ingredient_comb,Directions_updt,Diet Type_comb,Item_Form_updt,popularity_score,popular
"Whole Foods Market, Super Omega 3, 180 Count",4.0,39.99,,19.0,Whole Foods Market,,"1280Mg Total Omega-3S Per ServingOur Super Omega-3 Has More Than 3 Times The Eicosapentaenoic Acid (Epa) & Docosahexaenoic Acid (Dha) Than Our Cold Water Fish Oil Omega-3Supports A Healthy Heart & BrainWhole Foods Market products give you that dance-down-the-aisles feeling, virtual aisles too! Our huge range of choices with premium ingredients at prices you can get down with makes grocery shopping so much more than tossing the basics in your cart.An Amazon brand",,,,180 Count,,Ingredients No,,Fish,"['softgel', 'capsule']",0.3925740510093887,0
"NATURELO Burpless Omega 3 Fish Oil Supplement - 1100mg Triglyceride Omega-3, EPA + DHA, Liquid Fish Oil Omega 3 for Heart, Eye, Brain, Joint Health - 60 Softgels, 2 Months Supply",4.6,29.95,,3486.0,NATURELO,,"NO BURPS: Our fish oil supplements burpless formula works to prevent a fishy smell or fishy aftertaste, with a hint of lemon for an extra burst of freshness.HIGH ABSORPTION: The fish oil omega 3 supplements use the Triglyceride form of Omega-3 to support absorption. Each softgel packs a potent 1100 mg of Omega-3, requiring only one capsule per day to help meet your omega-3 DHA and EPA fatty acid needs.PURE AND SUSTAINABLE: Our omega-3 fish oil is sourced and purified in the United States from sustainable, wild-caught Alaskan Pollock. Advanced molecular distillation techniques are used, creating one of the highest quality fish oil omega 3 supplements.HEALTH BENEFITS: Fish oils omega 3 fatty acids can support several health benefits including heart, brain, eye, and joint health function.* Our Omega-3 fish oil supplement can help fills the omega 3 fatty acids nutrient gap if your diet lacks fish and other dietary sources of omega-3 fats.EXTENDED SUPPLY: One bottle offers a 2-month supply, with our liquid omega 3 fish oil formula requiring only one softgel per day.",,Adult,Omega 3 Softgels,60.0 Count,Bone & Joint Support,"Ingredients Purified Fish Oil (from sustainable, wild-caught Alaska Pollock), Softgel Capsule (fish gelatin, non-GMO vegetable glycerin and purified water), Natural Lemon Flavor, and Natural Mixed Tocopherols.",,Vegan,['softgel'],0.7605489959078575,1
"Garden of Life Dr. Formulated Advanced Omega Fish Oil - Lemon, 1,290mg EPA, DHA + DPA in Triglyceride Form, Single Source Omega 3 Supplement for Ultimate Brain & Heart Health, Non-GMO, 180 Softgels",4.5,51.79,,1894.0,Garden of Life,,"Doctor Formulated Fish Oil supplement to support heart, brain and overall wellness with 695 mg EPA, 465 mg DHA plus 30 mg DPA in Triglyceride Form (the natural form)Traceable and sustainably sourced, our Fish Oil supplement is Doctor Formulated with Specialized Pro-Resolving Mediators (SPM)Fish Oil Omega 3 supplement formulated with over 1000 mg total Omega-3s per serving and SPM, compounds that support normal inflammatory responses in the bodyFreshness, purity & potency guaranteed, and Third-Party Certified Non-GMO Project Verified & Marine Stewardship Council CertifiedPleasant-tasting, lemon flavored softgelsвЂ”no fishy aftertaste (no burps). Just take 2 soft gels daily with food.",Omega 3,,Lemon,180 Count,Brain and Heart Health,"Ingredients PureSeaOmega3в„?Mercury-Free Tuna Oil (Thunnus spp.), Non-GMO PlantGelв„?Softgel, Non-GMO Flavor, Non-GMO Rosemary Extract. Contains: Fish. Made without dairy or soy ingredients, peanut or shellfish. Manufactured in a facility that also processes milk, egg, fish, crustacean shellfish, tree nuts, wheat and soybeans.;Fish Oil",,Keto,['softgel'],0.7101399226872012,0
"Life Extension Mega EPA/DHA, omega-3 fatty acids, heart & brain health, inflammation health support, non-GMO, gluten-free, 120 softgels",4.6,20.25,,595.0,Life Extension,,"Omega-3s for heart health вЂ?Staying heart healthy starts with omega-3 fatty acids. EPA and DHA omega-3 fatty acids help support the cardiovascular system.EPA and DHA for brain and joint health вЂ?Omega-3s help support healthy cognitive function, including maintaining mood and encouraging healthy blood flow in the brain. Omega-3s also help inhibit inflammation to support joint health.Supports omega-3 to omega-6 ratios вЂ?American diets are often higher in omega-6s than omega-3s. Omega-3 supplements help balance the ratio of healthy omega-3s to omega-6s.Ingredients matter вЂ?We use only the finest raw ingredients with the quality and purity you deserve. The majority of our products are non-GMO, gluten-free and manufactured in the USAвЂ”and a Certificate of Analysis is available for every one.Live your healthiest life вЂ?We believe the answers to a healthier life are within reach, and that scientific research is the key to getting us there. ThatвЂ™s why so many of our formulas feature specific ingredients and amounts based on scientific studies.","DHA (docosahexaenoic acid), EPA (eicosapentaenoic acid)",,Unflavoured,120 Count,Adult,"Ingredients Calories 20 Total Fat 2 g Fish Oil Concentrate 2000 mg Yielding: EPA (eicosapentaenoic acid) 720 mg DHA (docosahexaenoic acid) 480 mg Other ingredients: highly refined fish oil concentrate (anchovy, mackerel, sardine), fish gelatin (tilapia), glycerin, purified water, natural flavor, mixed tocopherols, rosemary extract. Contains fish (tilapia) Non-GMO;DHA (docosahexaenoic acid), EPA (eicosapentaenoic acid)",,Gluten Free,['softgel'],0.6834944912965124,0
"Omega 3 Fatty Acid Supplements. Burpless Fish Oil 3000mg High EPA DHA. Best Omega 3 Supplements for Women & Men. Fish Oil for Women. Fish Oil for Men. Odorless, No Burp, Mercury free Omega 3 Capsules.",4.8,25.95,,701.0,Dr. Matthew,,"INDEPENDENT LAB TESTED: Looking for a superior DHA EPA omega 3 supplement? YouвЂ™ve come to the right place for burpless fish oil supplements for men or omega 3 for women! Sourced from wild caught Peruvian Anchovies in the clean waters of the South Pacific, our premium high EPA fish oil is lab tested in the USA by Eurofins labs. Dr. MatthewвЂ™s fish oil epa dha omega 3 supplement meets and exceeds all standards of the Global Organization for burpless fish oil omega 3 supplements (GOED).FRESH, PURE AND POTENT: Omega-3 fish oils can get rotten quickly. A 2016 study revealed that 50% of omega 3 vitamins are very oxidized. Also, 90% contained less DHA/EPA than they say they do. We are different because our omega 3 capsules deliver mercury free omega 3 fish oil. ItвЂ™s an ultra pure, potent omega 3 burpless & odorless fish oil for men and women. Contains no saturated fats & oxidized lipids.MORE EPA + DHA THAN OTHER BRANDS: Looking for the best fish oil supplements for women or for the best omega 3 supplement for men? Our pharmaceutical grade omega 3 fish oil burpless will meet your needs. You get: Concentrated omega 3 fish oil 3000mg per serving. It contains more than 1200mg EPA and 900mg DHA, high quality omega 3 fatty acids for women & men. ItвЂ™s triple strength 100% pure wild caught fish oil from deep ocean waters. Molecularly distilled to eliminate PCBs, heavy metals & toxins.DOCTOR-RECOMMENDED, HEART HEALTH, BRAIN POWER, EYE & SKIN SUPPLEMENT: Our easy to swallow omega 3 EPA DHA fish oil for women and men supports liver, bone, joint, memory, skin and hair growth. ItвЂ™s an easy-to-digest burpless fish oil supplement. Many consider our high EPA fish oil vitamins the best omega 3 supplements for women and men. Fish oil omega 3 supplements burpless with lemon flavor.100% SATISFACTION, MADE IN THE USA, IN OUR GMP CERTIFIED FACILITY in New Jersey. Our omega fish oil supplement is Certified by Friend of the Sea and is Dolphin Safe. Non GMO, gluten free, no preservatives. Free of the toxic chemicals (phthalates) used in enteric coated fish oil. Cold pressed, fish oil no burp. Our omega supplements for women are also known as no burp fish oil omega 3, omega 3 women, fish oil odorless, omega 3 3000mg, omega-3 fatty acids for men, omega 3 para mujeres.",,Adult,Lemon,90.00 Count,Adult,"Ingredients Capsule (gelatin, glycerin, purified water), Natural Lemon Oil, and Vitamin E (Natural Mixed Tocopherols).",,,['softgel'],0.7382535673350018,0
"Nature's Bounty Fish Oil, Supports Heart Health, 1200 Mg, 360 Mg Omega-3, Rapid Release Softgels, 200 Ct",4.7,14.17,,95132.0,Nature's Bounty,,"SUPPORT FOR YOUR HEART: Containing important Omega-3 fatty acids including EPA and DHA omega-3 fatty acids that help to support and maintain the health of your cardiovascular system (1)360 mg OF OMEGA-3 EPA & DHA: NatureвЂ™s Bounty Fish Oil Softgels support heart cellular and metabolic health; (1) Considered вЂњgoodвЂ?fats Omega-3 fatty acids may help to maintain triglyceride levels already within a normal range (2)EASY TO TAKE: Not everyone enjoys seafood which is why NatureвЂ™s Bounty Fish Oil softgels are a perfect way to obtain important Omega-3 fatty acids in a convenient softgel formPURIFIED TO ELIMINATE MERCURY: NatureвЂ™s Bounty is committed to safety and purity in all our supplements; Our Fish Oil Softgels are purified to eliminate mercury and contain no shellfish gluten lactose sugar or artificial colors and sweetenersFROM THE TRUSTED WELLNESS EXPERTS: NatureвЂ™s Bounty Fish Oil Softgels are heart health supplements backed by 50 years of dedication to quality, consistency and scientific research to make vitamins and nutritional supplements of unrivaled excellence",Omega 3,,Unflavoured,200 Count,Heart Health Support,"Ingredients Gelatin, vegetable glycerin, mixed natural tocopherols.Contains fish (anchovy, mackerel, saridne) ingredients. Purified to eliminate Mercury;Fish Oil",,Gluten Free,['softgel'],0.9285714285714286,1
"Garden of Life EPA/DHA Omega 3 Fish Oil - Minami Natural Brain Function, Heart and Mood Supplement, 30 Softgels",4.7,20.79,,1076.0,Garden of Life,,"DAILY MAINTENANCE FOR A HEALTHY HEART & BRAIN: Our concentrated Omega-3 Fish Oil supports cognitive function, promoting a healthy mind with 850mg of Omega-3 nutrition in just one softgel daily; Plus it has a clean, Orange FlavorвЂ”with no fishy aftertasteCURRENT MOODвЂ•HEART-HAPPY AND GIVING BACK: Promote cardiovascular health and a positive mood while supporting cognitive function (with no saturated fat); For every Minami bottle sold, we're making a donation to National Parkinson FoundationNO FISHY BUSINESS HERE: Our customers love the taste of this burpless formula because it doesn't taste like fish; Skeptical about fish oil due to that notorious fishy aftertaste? Surprise, you won't find it here! Just omega 3 support for women and menHOLY MACKEREL: For our premium omega 3 dietary supplement for heart and brain health, we only source small, deep-sea fishвЂ”anchovy, sardine & mackerelвЂ”from sustainably managed waters; We've proudly received EMAS status, a very stringent European standardULTRA PURE & EARTH FRIENDLY: Looking for more? This 80% concentrated fish oil offers a 4:1 EPA to DHA RatioвЂ”purified & processed in facilities powered by recycled waste energy; Free from mammal-based ingredients with fish gelatin & vegetable glycerin",Omega,Adult,Orange,30 Count,Heart Health Support,"Ingredients Deep-sea fish oil (anchovy, sardine and mackerel), fish gelatin, vegetable glycerin, natural orange flavor, rosemary extract, natural non-GMO mixed tocopherols (antioxidant). Contains: soy.",,Gluten Free,['softgel'],0.733112808618261,0
"Garden of Life Ultra Pure EPA/DHA Omega 3 Fish Oil - Oceans 3 Beyond Omega 3 Supplement with Antioxidants, 60 Softgels",4.6,25.89,,846.0,Garden of Life,,"Oceans 3 is formulated using fish oils carefully purified using multiple-stage molecular distillation process that both concentrates the EPA and DHA and removes environmental toxins.The Omega-3 fish oil contained in Oceans 3 Beyond Omega 3 is: An excellent source of Omega-3 fatty acids - 1,275mg per daily serving, Super concentrated EPA -- 675mg per day, Super concentrated DHA -- 450mg per day.Contains Astaxanthin, an extremely powerful antioxidant carotenoid from sea algae which as an antioxidant benefits cardiovascular health, immune system health, eye health and even supports healthy skin, bones and joints.Contains Fucoxanthin, a dynamic, antioxidant carotenoid from brown seaweed, shown to exert its protective effects directly in fat cells. Gluten freePURITY, QUALITY, SUSTAINABILITY: Oceans 3 is verified pure & fresh through Third-Party testing that exceeds strict international standards, and our USA wild caught Alaska Pollock comes from a sustainable fishery that is independently certified by MSC",Omega 3,,Natural Strawberry,60 Count,Antioxidant,"Ingredients Haematococcus pluvialis Extract (standardized to min. 4 mg Astaxanthin), Brown Seaweed Extract (Undaria pinnatifida), [Concentrated fish oil (USA wild-caught Alaska Pollock with natural mixed tocopherols)], gelatin (bovine), vegetable glycerin, beeswax, beta-carotene, natural strawberry flavor, silicon dioxide, soy lecithin. Contains: Fish, soy. Made without dairy ingredients, tree nuts or shellfish. Manufactured in a facility that also processes dairy, eggs, wheat, peanut, tree nuts and shellfish. No artificial colors. Gluten Free. Dairy Free.;Eicosapentaenoic acid",,Gluten Free,['softgel'],0.6988246435797685,0
"Amazon Elements Super Omega-3 with Natural Lemon Flavor, EPA & DHA Omega-3 fatty acids, 120 Count (1280 mg per serving, 2 Softgels) (Packaging may vary)",4.6,17.27,,5075.0,Amazon Elements,,"ONE BOTTLE CONTAINS: 120 softgels, a 2 month supply (taken daily at the listed serving size)EPA & DHA OMEGA-3 FATTY ACIDS: Contributes to the normal function of the heart; DHA supports functioning of the brain and the eyeWILD-CAUGHT FISH OIL: Natural lemon flavor with wild-caught fish oilNO ARTIFICIAL: Colors, flavors, or chemical preservatives; gluten freeBLENDED AND PACKAGED IN USA: Made in a Good Manufacturing Practices (GMP) facility in the USA; product of NorwayPRODUCT NOTE: Exposure to heat or sunlight may lead to melting/damage of product; Amazon stores and ships products in accordance with manufacturers recommendations when providedAn Amazon brand",,Adult,Natural Lemon Flavor,120 Count,Brain Health Support,"Ingredients Omega 3s from Fish Oil, Gelatin, Glycerin, Purified Water, Natural Flavor, D-alpha Tocopherol. CONTAINS: FISH (ALASKA POLLACK)",,,['softgel'],0.7769269406192516,1
"Qunol Fish Oil Omega 3 Mini Softgels, 1000mg Omega 3 EPA + DHA, Ultra Pure Supplements, Heart Health Support, Lemon Flavor, Easy to Swallow Minis, 3 Month Supply, 180 Count",4.6,19.88,,2564.0,Qunol,,SUPPORT HEART HEALTH: Qunol Omega-3 softgels provide 1000 mg of Omega-3 fatty acids per serving; including 645mg EPA and 310mg DHAULTRA PURIFIED FISH OIL: Made with fresh; wild-caught; small fish and ultra purified fish oilAN EXCELLENT WAY TO SUPPLEMENT ESSENTIAL FATTY ACIDS: Omega-3s are considered essential because the body does not produce it and most people do not get the recommended daily levels of Omega-3 from their diets aloneLEMON FLAVOR: Help control fishy aftertasteMAY ALSO HELP WITH: Supporting brain and overall health,Omega 3,,Lemon,180 Count,"Heart Health Support, 1000mg of Omega-3 Fatty Acids","Ingredients Fish oil (anchovies and/or sardines and/or mackerel and/or herring), gelatin, glycerin, water, natural lemon flavor, mixed natural tocopherols.;Omega 3 from Fish Oil",,Gluten Free,['softgel'],0.7471544895185447,0
Vegan Omega 3 6 7 9 Gummies by MaryRuth's | Up to 4 Month Supply | Omega 3 Supplement with Flaxseed Oil | Omega 3 Gummies | No Fish Taste | Non-GMO | 120 Count,4.4,28.99,,4707.0,MaryRuth Organics,,"Vegan Omega 3-6-7-9 Gummy Vitamins: Our omega gummies are the furthest thing from fishy fish oil capsules! Made with vegan omega fatty acids derived from organic flaxseed oil and organic SeaBerry, these gummies have three flavors in one: Peach Mango Apricot!Vegan Omega 3-6-7-9 Gummy Vitamins: Our omega gummies are the furthest thing from fishy fish oil capsules! Made with vegan omega fatty acids derived from organic flaxseed oil and organic SeaBerry, these gummies have three flavors in one: Peach Mango Apricot!Omega 3 Supplement: Omega-3 alpha-linolenic acid (ALA) and omega-6 linoleic acid are considered essential fatty acids, and must be obtained through our diets. They provide energy for the body. Our omega-3 is plant-based ALA, which is the only type of omega-3 that is essential!Flaxseed Oil & Sea Buckthorn: Flaxseed and seaberry are amazing natural sources of alpha-linolenic acid (ALA), linoleic acid, palmitoleic acid, and oleic acid, which are omega 3, 6, 7, and 9 respectively. Sea buckthorn, one of the few plant sources of omega-7, has a unique composition of this fatty acid which may support healthy metabolic function.Omega 3 Fatty Acid Supplements: These delicious sugar-free gummies are peach-mango-apricot flavored and provide a great complex of omega fatty acids to support your overall health and wellness!Free of Common Allergens: MaryRuth Organics Omega 3-6-7-9 Gummies are Non-GMO, No Gelatin, Pectin Based, Vegan, Made in a GMP (Good Manufacturing Practice) Facility. Dairy Free, Nut Free, Gluten Free, Soy Free, Sugar Free, Kid Friendly. Clean Label Project Verified. B Corp Certified.",Omega 3,Child,Strawberry,120.0 Count,Essential Nutrients | Energy Support | Supports Healthy Metabolic Function for Adults and Kids,,Directions Take 4 gummies per day as recommended by a physician or healthcare professional.,Vegan,['gummy'],0.7260251504517088,0
"Vegan Omega 3 Supplement - Plant Based DHA & EPA Fatty Acids - Carrageenan Free, Alternative to Fish Oil, Supports Heart, Brain, Joint Health - Sustainably Sourced Algae, Fish Oil Free - 180 Softgels",4.7,59.95,,3858.0,sapling,,"VEGAN OMEGA 3 SUPPLEMENT - Sapling Omega-3 is sourced from algae. Fish get their DHA and EPA by consuming algae, as it is one of the planets primary food sources. We believe fish should be kept out of it and that going straight to the source is the smarter and more sustainable option. Our algae is not harvested from an ocean but sustainably grown in United States. This allows us to control for purity and quality that canвЂ™t be controlled in the ocean. ItвЂ™s better for you and the environment.BIOAVAILABLE DHA AND EPA - Our Algae Omega 3 contains a total of 500mg of Omega-3s, 300mg DHA, and 150mg EPA per serving. Other plant oils, such as flaxseed oil, donвЂ™t contain DHA or EPA. DHA And EPA are naturally occurring in algae oil.BRAIN, HEART, JOINT SUPPORT: Omega-3вЂ™s have been shown to support heart, brain, joint, and immune system health. DHA may assist with cognition for clarity and focus.ONE BOTTLE, ONE TREE вЂ?We take the environment seriously. Thats why for each bottle we sell, one tree is planted.GROWN IN THE USA вЂ?Our algae is grown in the United States. Additionally, it is bottled in the United States in a GMP Certified and FDA Registered Facility.",,All Ages,,180.0 Count,,"Ingredients Algal Oil, Modified Tapioca Starch, Vegetable Glycerin, Purified Water.",Directions Two softgels taken daily with a meal or as directed by a health care professional.,"Vegan, Plant-Based",['softgel'],0.7887799643234629,1
"Dr. Tobias Omega 3 Fish Oil, 2000mg Triple Strength Omega 3 Supplement with 800mg EPA 600mg DHA Per Serving, Fish Oil Omega 3 Supplements for Heart, Brain & Immune Support, 180 Softgels, 90 Servings",4.7,42.99,,32354.0,Dr. Tobias,,"Extra Strength Omega 3 Supplement: Our Triple Strength Omega 3 Fish Oil contains the richest sources of Omega 3 fatty acids offering highly concentrated EPA & DHA. Take 2 softgels daily.3x the Omega 3s: Each serving contains 2,000 mg of fish oil delivering 1,400 mg of omega 3s вЂ?thatвЂ™s 3x more than traditional fish oil pills! Formulated a potent ratio of 800 mg EPA & 600 mg DHA, giving you the most out of every dose.Optimal Absorption, No Fishy Aftertaste: Our elevated softgels are equipped with an enteric coating which protects the Omega 3s and ensures optimal absorption. It also helps make the pills easy to swallow, with no fishy aftertaste or burps.Advanced Purification: Feel good about taking our molecular distilled fish oil. Our specialized purification process removes heavy metals, PCBs, and other toxins. Our quality fish oil is sourced from fresh, wild caught fish. (*Allergen warning: This product does contain soy).A Better You Starts Here: We stand behind our products, source only the highest quality ingredients, and care about our customers. Our Fish Oil Supplements are NSF Certified and made by our nutrition experts in a GMP Certified Facility in the USA from international and domestic ingredients.",,Adult,Unflavoured,180 Count,Overall Health,"Ingredients Fish Oil Omega 3 - EPA (Eicosapentaenoic Acid) - DHA (Docosahexaenoic Acid) - Other ingredients: Gelatin (bovine), vegetable glycerin, purified water enteric coating, and natural vitamin E.;Fish Oil",,Gluten Free,['softgel'],0.8815285772527874,1
"Triple Strength Omega 3 Fish Oil Supplements 4200mg Per Serving, 240 Softgels вЂ?Lemon Flavored вЂ?Burpless | EPA 1200mg + DHA 900mg | Deep Sea Fish",4.5,29.95,,7956.0,Micro Ingredients,,"Micro Ingredients offers triple strength 4,200mg omega-3 fish oil softgels. Infused with a sweet lemon flavor and made with burpless enteric coated technology. Retains high EPA DHA levels from wild-caught Norwegian fresh fish.Enjoy 1200mg EPA with 900mg DHA across every serving. Contains specific triglyceride omega 3 fish oil that is purified to remove heavy metals like mercury and any other harmful contaminants.An efficiently absorbed omega-3 nutritional supplement that should be taken at least once per day. Offering benefits that promote heart health and brain health, but if taken over a long period of time could support a positive mood, joint strength, and immune defense.Premium non-GMO omega 3 fatty acid. Made without soy, dairy, gluten, flavors, preservatives, colors, and tree nuts. Ingredients must pass our 3rd party lab tests to ensure a product that is safe, pure, and potent.",,Adult,Lemon,240.00 Count,"Support Heart Health, Supports Brain Health, Bone & Joint Support, Immune Support","Ingredients Norwegian Fish Oil with Active EPA and DHA;Omega-3 Fatty Acids, Docosahexaenoic acid, Eicosapentaenoic acid",,Gluten Free,['softgel'],0.7727251665852293,1
Pure Encapsulations EPA/DHA Essentials - Fish Oil Concentrate Supplement to Support Cardiovascular Health - Premium EPA & DHA Supplement with Omega 3-180 Softgel Capsules,4.7,65.6,,1234.0,Pure Encapsulations,,"Fish Oil with EPA & DHA: Ultra-pure fish oil supplement supports heart health, well-being, joint health, and tissue healthCardiovascular Support: EPA DHA omega-3 supplement supports cardiovascular health and helps maintain healthy blood flow, supporting overall heart healthJoint & Tissue Health: This DHA and EPA omega-3 supplement provides support for joint and tissue health, supporting flexibility and mobilityWell-Being: This EPA and DHA supplement supports well-being and brain function, making it an ideal supplement for memory supportPure Difference: What we leave out matters, too; Pure Encapsulations products are FREE FROM common allergens, artificial or unnecessary ingredients, and GMOs",Magnesium,Adult,Flavor Free,180.00 Count,"Cardiovascular Health,Heart Health",,,,['softgel'],0.7390838109482223,0
"MegaFood Vegan Omega 3 6 9 - Burp-less Omega 3 Supplement - 600 mg Plant-Based Omega-3 & 150 mg DHA Per Serving - Heart, Brain, Vision & Joint Support - Fish Oil Alternative - 60 Capsules, 30 Servings",4.8,26.99,,22.0,MegaFood,,"PLANT-POWERED FOR WHOLE BODY HEALTH: Heart, brain, vision, and joint support; Every serving offers a 600 mg blend of bioavailable and fish-free vegan Omega 3 made from Ahiflower(1) and Algae oil+BURP-LESS(2) FOR A BETTER OMEGA EXPERIENCE: Unlike many Omega 3 fish oil supplements, our vegan Omega 3 6 9 uses lemon oil coated, delayed release capsules designed to reduce odors, aftertaste, and burpsFISH-FREE OMEGAS: By sourcing our fish-free omega oil directly from algae and Ahiflower sources, we do not contribute to overfishingTAKE ANY TIME OF DAY: Adults take two capsules daily any time with food and a beverage; These Omega 3 fatty acid supplements with Omegas 6 and 9 are suitable for Vegan & Vegetarian diets; 60 liquid capsules for 30 servingsNO FISHY INGREDIENTS: This Omega 3 supplement includes Omegas 6 and 9 and is Vegan, Gluten-free, Non-GMO, and made without carrageenan, fish, milk, eggs, peanuts, tree nuts, soy, wheat, shellfish, and sesame; Feel good knowing we test these Omega 3 6 9 DHA supplements for 150 chemical substances and third-party test for heavy metals including mercury",,Adult,Unflavoured,60.00 Count,"Heart, brain, vision and joint support","Ingredients Ahiflower and algae oil (Ahiflower (Buglossoides arvensis) seed oil, algal (Schizochytrium sp.] oil, antioxidants (rosemary leaf extract, mixed tocopherols, sunflower lecithin, sunflower oil, and ascorbyl palmitate (to preserve freshness))), hypromellose, silicon dioxide, gellan gum, organic lemon oil.",,,['capsule'],0.5891464450132655,0
"MegaRed Omega 3 Fish Oil & Antarctic Krill Oil Softgels for Brain, Heart, Joints & Eye Support, (80 count bottle), Concentrated Omega 3 Fatty Acid Supplement with EPA, DHA, Phospholipids",4.7,27.58,,11021.0,MegaRed,,"FISH and KRILL OIL TOGETHER: MegaRed Advanced 4-in-1 omega 3 supplement uses a special combination of high concentration fish oil and high absorption krill oil that has 2X more Omega 3s vs standard fish oil alone, and it supports heart, joint, brain, and eye health.OMEGA 3 SUPPLEMENT: Supportive research has shown that consumption of omega 3 fatty acids supplements (EPA and DHA) may reduce the risk of coronary heart disease.HEART HEALTH: MegaRed Advanced 4in1 provides omega 3 fatty acids to support heart health in a once daily softgel.ANTARCTIC KRILL OIL: Eco-Friendly, Krill is one of earthвЂ™s most sustainable organisms. MegaRed goes a step further by only sourcing krill from the Antarctic where krill is most abundant.#1 KRILL OIL BRAND: MegaRed is the #1 Doctor Recommended Krill Oil brand for heart health. DonвЂ™t just take our word for it check out our 5-star rating and read our customer reviews.EASY ABSORPTION: Krill oil carries its Omega-3 in a phospholipid form which helps absorption the human body.OMEGA 3 FISH OIL: MegaRed Omega3 Fish Oil softgel, a cod liver oil capsules alternative, has 2X more Omega 3s vs standard fish oil alone.",Omega,,Unflavoured,80.00 Count,"Eye Health Support,Brain Health Support,Bone & Joint Support,Heart Health Support","Ingredients Proprietary Blend of Fish Oil and Krill Oil, gelatin, glycerin, water, ethyl vanillin, caramel color, carmine color, natural mixed tocopherols. CONTAINS SHELLFISH (KRILL) AND FISH (POLLOCK). Krill Oil, EPA (eicosapentaenoic acid), DHA (docosahexaenoic acid);Fish Oil",,Keto,['softgel'],0.8345569135166266,1
